track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
5T0BeNEv0U7xuiEwlCFBCc,0.677,0.325,9.0,-14.786,1.0,0.924,0.141,0.000987,0.336,0.359,140.188,audio_features,5T0BeNEv0U7xuiEwlCFBCc,spotify:track:5T0BeNEv0U7xuiEwlCFBCc,https://api.spotify.com/v1/tracks/5T0BeNEv0U7xuiEwlCFBCc,https://api.spotify.com/v1/audio-analysis/5T0BeNEv0U7xuiEwlCFBCc,240295.0,4.0
1lZoEoyNBD2NNvAH4d4Omx,0.668,0.276,9.0,-15.28,1.0,0.82,0.0865,0.00221,0.0673,0.358,139.138,audio_features,1lZoEoyNBD2NNvAH4d4Omx,spotify:track:1lZoEoyNBD2NNvAH4d4Omx,https://api.spotify.com/v1/tracks/1lZoEoyNBD2NNvAH4d4Omx,https://api.spotify.com/v1/audio-analysis/1lZoEoyNBD2NNvAH4d4Omx,262957.0,4.0
6gRNExpVbQAHTUPu6tnSo4,0.261,0.23,2.0,-23.348,0.0,0.0957,0.752,0.105,0.226,0.111,78.055,audio_features,6gRNExpVbQAHTUPu6tnSo4,spotify:track:6gRNExpVbQAHTUPu6tnSo4,https://api.spotify.com/v1/tracks/6gRNExpVbQAHTUPu6tnSo4,https://api.spotify.com/v1/audio-analysis/6gRNExpVbQAHTUPu6tnSo4,726200.0,4.0
6wlR1gwv0FMO8Tf8Hk751S,0.404,0.00558,9.0,-25.899,0.0,0.0543,0.921,0.00762,0.127,0.18,128.413,audio_features,6wlR1gwv0FMO8Tf8Hk751S,spotify:track:6wlR1gwv0FMO8Tf8Hk751S,https://api.spotify.com/v1/tracks/6wlR1gwv0FMO8Tf8Hk751S,https://api.spotify.com/v1/audio-analysis/6wlR1gwv0FMO8Tf8Hk751S,1328893.0,3.0
2y8lJB2Q0Usr9giRZRG5u1,0.399,0.0277,0.0,-26.108,1.0,0.066,0.332,0.046,0.258,0.171,85.549,audio_features,2y8lJB2Q0Usr9giRZRG5u1,spotify:track:2y8lJB2Q0Usr9giRZRG5u1,https://api.spotify.com/v1/tracks/2y8lJB2Q0Usr9giRZRG5u1,https://api.spotify.com/v1/audio-analysis/2y8lJB2Q0Usr9giRZRG5u1,306273.0,4.0
6S4jOopzelZpZpD3jhtj5f,0.474,0.025,11.0,-26.777,1.0,0.103,0.862,0.022,0.129,0.134,74.264,audio_features,6S4jOopzelZpZpD3jhtj5f,spotify:track:6S4jOopzelZpZpD3jhtj5f,https://api.spotify.com/v1/tracks/6S4jOopzelZpZpD3jhtj5f,https://api.spotify.com/v1/audio-analysis/6S4jOopzelZpZpD3jhtj5f,3507638.0,4.0
5sEg1FUVbCHIDRXlgcc5wc,0.447,0.0995,2.0,-17.862,1.0,0.471,0.957,5.21e-05,0.143,0.311,77.36,audio_features,5sEg1FUVbCHIDRXlgcc5wc,spotify:track:5sEg1FUVbCHIDRXlgcc5wc,https://api.spotify.com/v1/tracks/5sEg1FUVbCHIDRXlgcc5wc,https://api.spotify.com/v1/audio-analysis/5sEg1FUVbCHIDRXlgcc5wc,236500.0,3.0
5L3GvmG24jIZQh20jAGA37,0.544,0.00774,1.0,-38.137,0.0,0.534,0.0451,0.0,0.354,0.21,112.984,audio_features,5L3GvmG24jIZQh20jAGA37,spotify:track:5L3GvmG24jIZQh20jAGA37,https://api.spotify.com/v1/tracks/5L3GvmG24jIZQh20jAGA37,https://api.spotify.com/v1/audio-analysis/5L3GvmG24jIZQh20jAGA37,630000.0,3.0
43XY3SzRURlJEdqOpNZrlI,0.489,0.355,4.0,-15.957,1.0,0.224,0.982,0.228,0.14,0.827,128.134,audio_features,43XY3SzRURlJEdqOpNZrlI,spotify:track:43XY3SzRURlJEdqOpNZrlI,https://api.spotify.com/v1/tracks/43XY3SzRURlJEdqOpNZrlI,https://api.spotify.com/v1/audio-analysis/43XY3SzRURlJEdqOpNZrlI,504000.0,4.0
2LuOb3ZBWt05ECgQgdfUOc,0.299,0.304,0.0,-27.914,1.0,0.332,0.294,0.000559,0.234,0.0357,101.844,audio_features,2LuOb3ZBWt05ECgQgdfUOc,spotify:track:2LuOb3ZBWt05ECgQgdfUOc,https://api.spotify.com/v1/tracks/2LuOb3ZBWt05ECgQgdfUOc,https://api.spotify.com/v1/audio-analysis/2LuOb3ZBWt05ECgQgdfUOc,595662.0,4.0
